14:18:49 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:18
14:19:02 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:03 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:04 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:05 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:06 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:07 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:08 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:09 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:10 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:11 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:11 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:12 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:13 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:14 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:15 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:16 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:17 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:18 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:19 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:20 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:21 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:21 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:22 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:23 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:24 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:25 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:26 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:27 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:28 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:29 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:30 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:30 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:31 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:32 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:33 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:34 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:35 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:36 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:37 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:38 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:39 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:40 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:40 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:41 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:42 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:43 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:44 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:45 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:46 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:47 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:48 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:49 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:50 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:50 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:51 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:52 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:53 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:54 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:55 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:56 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:57 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:58 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:19:59 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:00 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:00 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:01 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:02 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:03 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:04 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:05 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:06 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:07 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:08 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:09 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:09 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:10 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:11 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:12 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:13 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:14 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:15 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:16 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:17 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:18 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:19 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:19 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:20 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:21 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:22 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:23 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:24 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:25 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:26 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:27 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:28 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:29 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:29 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:30 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:20:31 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:35:20 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:20 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:21 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:22 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:23 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:24 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:25 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:25 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
14:35:26 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=0.0	var3=1.3.6.1.4.1.11307
